avg_sunshine,avg_rain,nitrogen,potash,phosphate,production
1103.9,62.53333333,52888,10466,23912,984.31
886.4,52.89166667,63978,12392,30775,1177.1
1068.5,64.175,60332,11458,27558,1095.84
1149.7,63.2,77428,19543,45185,1319.18
1282.3,80.21666667,72843,17339,45815,1416.48
1092.1,61.93333333,93725,16214,50474,1534.22
1568,81.75833333,80745,16124,42229,1296.24
1379.7,73.175,92460,16253,54358,1444.24
1008.7,68.525,109099,19423,62410,880.6
1419.1,96.45,10661,1959,4827,788.65
1709.8,101.5666667,12218,2520,6136,836.54
1259.2,88.60833333,9710,715,3270,927.73
1398.3,86.50833333,11578,3579,5451,729.33
1030.9,48.66666667,17440,3212,9076,682.46
1623.2,100.0416667,16819,5277,9675,1184.98
1160.5,76.58333333,16701,3459,10399,772.88
1542.6,94.65,16472,3495,8764,1341.33
1434.5,94.96666667,13070,2909,7129,1265.91
1476.6,90.65,21424,4606,11737,1377.04
1538.5,115.725,19698,5141,13415,664.46
1348,71.20833333,72879,15430,47155,1147.58
1206.7,68.51666667,101407,21781,46657,1324.71
1434.2,92.84166667,106660,30274,55126,1483.28
1114.5,73.45,106007,23481,53556,1252.38
937.5,30.475,115245,24550,59287,1307.24
1109.1,53.89166667,127705,27617,64093,1521.13
1322.9,85.79166667,143926,27341,66868,1421.37
1233,69.64166667,140933,12325,63782,1974.69
1443.6,83.9,133516,16718,62690,1749.21
1233.2,64.91666667,131220,20116,56975,2127.73
921.4,60.225,127207,16422,51969,1412.83
1475.7,85.44166667,55418,5494,14434,874.16
1091.7,60.19166667,60337,6684,17875,1127.18
1269.4,76.325,56764,4978,14927,1160.03
1047,68.01666667,51999,7429,20055,1070.95
791.4,39.71666667,59188,7339,25472,994.29
973.9,56.13333333,60950,8969,28185,1333.61
1290.1,88.66666667,79347,8989,29934,1557.35
1350.1,71.18333333,76076,5641,28892,1746.82
1449.5,95.43333333,74396,5533,25749,1577.16
1348.2,85.79166667,77949,6235,28868,1683.92
1056.8,68.59166667,75540,7911,32253,1340.65
1089.1,65.075,21975,3245,8460,437.91
1291.8,79.125,23067,3014,9135,532.65
1513.9,101.3166667,28705,5309,11004,500.83
978.2,27.31666667,30471,4195,13966,470.53
988.3,55.73333333,24194,4622,13785,598.26
1288.5,84.95833333,30099,2241,14000,602.66
1237.3,80.85,25807,1767,10948,641.28
1221.3,69.6,25812,2344,11328,580.76
1227.8,63.9,27928,4197,11565,657.79
1192.1,71.38333333,31033,3660,14398,414.89
1186.3,66.2,12305,1387,6099,403.92
1153.4,66.56666667,15725,2210,6950,435.45
1119.6,63.33333333,16910,3551,10337,449.93
596.7,31.725,14897,2961,10262,399.46
1383.6,94.4,13484,2471,10318,530.08
1122.5,65.025,22160,1782,11396,610.07
809,47.19166667,25632,3114,11078,633.47
840,54.61666667,22005,5317,11871,687.04
989.8,49.76666667,28205,4556,15297,440.9
1283.7,62.5,50877,3046,27139,292.91
2109.7,128.1083333,57705,389,22933,364.36
968.8,53.53333333,48381,1023,21016,228
1043.9,57.79166667,57804,1271,23267,189.33
1937.9,115.4,10486,722,6693,365.28
1549.1,87.89166667,10663,744,6582,299.34
1010.6,36.85,14461,764,9454,338.2
1173.6,61.53333333,16377,484,8403,486.46
1428.8,76.475,15732,913,12464,434.08
1076,51.94166667,15649,596,10125,449.33
1004.7,66.69166667,19477,916,12859,445.33
1078.7,65.55833333,35016,3192,14165,38.37
1408,83.5,41304,2149,13320,28.05
807,40.675,38309,3598,15624,48
1133.3,74.5,47316,3922,17967,54
1585.6,47.31666667,9841,1543,4647,13.93
1084.4,56.54166667,13901,1694,5097,14.58
1163,67.56666667,13128,2185,7769,14.9
1039.5,52.04166667,19500,846,12182,17.21
1821,104.925,15197,864,7618,24.99
915.2,46.43333333,19002,1062,8081,25.33
1006.1,53.35833333,24755,1579,10019,89.33
1449.1,75.96666667,6774,421,3821,143.95
1322.5,66.91666667,7324,418,4468,135.81
889.1,31.34166667,12456,689,7498,122.4
1118.5,61.65833333,18777,1107,10162,281.01
1734.7,102.0583333,21318,313,8514,440.99
880.3,45.10833333,23150,501,9939,199.33
1013.7,62.43333333,28360,602,11535,238.67
1387.9,61.15,8317,137,2653,212.69
1828.1,103.4833333,9255,114,3263,242.15
1229.1,70.70833333,11043,163,5309,274
1195.8,73.63333333,11545,133,3925,365.33
865.5,50.28333333,16268,291,12896,5.33
1793.8,110.1916667,9242,35,7013,62.31
824.4,54.475,10116,92,5627,70.67
971.4,62.53333333,11349,88,7231,82.67
1094.7,62.35833333,6446,26,5613,64.91
1621.9,106.7,8051,41,5978,91.51
709,41.46666667,6222,50,3941,76.67
1224.2,50.125,16764,106,9875,199.65
1479.2,81.28333333,18662,66,8842,214.11
957.9,59.61666667,13590,336,7709,246
1487.4,84.7,7717,40,4611,238.24
1327.3,66.55833333,10087,62,4503,172.7
1242.7,82.025,6134,50,3379,126
806,48.08333333,6962,18,3812,137.33
1471.6,55.91666667,15131,1336,10824,123.3
959.6,56.65833333,19946,251,14640,197.67
1351.2,84.38333333,23321,110,10575,188.56
808.9,46.70833333,20380,468,10488,201.33
1081.4,64.98333333,24799,220,13200,238
982.9,50.11666667,31118,11748,20663,383.9
1055.3,68.23333333,34438,7571,21064,484.88
990.1,68.75833333,34981,12180,21875,510.67
787.7,41.00833333,37234,10930,23643,378
718.3,25.88333333,17501,999,7577,40.56
545.1,29.79166667,19111,703,9541,37.38
768.8,45.925,29172,899,14819,53.99
479.7,26,28963,2853,16515,54.1
850.7,44.44166667,34754,452,17453,89.43
1027.4,66.725,35106,295,12265,135.09
712.4,42.84166667,33372,236,11539,111.33
861.3,40.95833333,29113,343,8785,150
731.1,39.725,16257,810,13681,10.9
949.7,45.75,19251,270,16355,19.88
1331.7,71.45833333,20816,662,14296,17.06
817.2,42.96666667,20198,207,14004,17.33
769.4,45.40833333,18939,370,13508,27.33
759.5,39.19166667,13587,64,11142,4.52
1678.5,83.25,17679,92,10416,3.17
927.4,53.63333333,19384,53,10595,6.66
1201.7,49.175,21240,217,10919,6
642.1,35.225,13505,681,7278,5
904.5,38.84166667,16431,496,8058,16.53
1166,75.38333333,14175,167,3742,13.9
679.6,35.16666667,24870,80,2712,24
687.3,24.63333333,32368,649,8945,7.7
389.2,26.425,29937,587,12037,9.68
431.4,31.7,37805,1194,13499,11.88
777.7,46.33333333,42117,1233,17953,11.75
634.4,44.51666667,41861,1498,18646,25.2
838.9,41.525,42523,323,19369,50.67
1054.5,62.6,48620,339,14771,58.64
493.5,33.75,45769,364,15761,46
567.9,32.21666667,49450,325,14735,70
452.7,19.175,16762,1242,6319,7.84
401.9,18.325,16351,341,7585,0.83
478.6,29.7,18442,780,7806,0.4
973.5,54.275,21146,378,12396,11.81
508.1,32.98333333,19844,658,13516,3.5
730.1,35.125,20731,107,13610,12.47
1103,73.58333333,23687,160,10515,20.81
510.6,34.525,23267,64,9330,20.67
545,28.65833333,26896,79,9759,27.33
1018.4,54.725,38617,2955,22591,1.55
1353,68.4,41845,2560,19289,1.55
1292.9,62.45833333,27835,341,6856,24.32
857.4,37.61666667,78216,12934,39376,4
779.9,43.65833333,29290,9631,15594,13.73
1159.5,50.41666667,28171,3573,18796,7.73
1275.7,55.05833333,27581,2275,13684,10
1315,55.03333333,57946,2543,39596,45.87
1480.8,81.89166667,66647,1295,35642,61.92
941.7,42.63333333,65174,1320,36237,147.33
1182.5,49.89166667,66523,1511,37089,116.67
1053.1,48.5,32796,460,22342,45.38
1036.8,58.05833333,38797,509,23917,342.67
1206,60.2,37453,662,21623,226.67
1015.4,51.01666667,26706,334,19568,4
922.8,34.23333333,22453,1886,11085,46.2
1565.4,93.96666667,25059,1097,12055,121.76
1684,95.51666667,25643,873,10603,98.85
1061.5,35.125,27794,1588,12770,105.33
1240,85.33333333,25392,1570,9175,72
1565.3,55.5,32526,1453,24781,1.33
1386.4,62.96666667,48867,4322,22152,19.83
1901.8,113.8166667,52451,3045,27533,21.33
1092.8,48.5,63028,3342,30164,18.61
1467.1,71.56666667,75197,6787,43391,34
1732.3,90.425,81436,1928,48207,61.74
2102.8,114.4083333,80775,959,37755,65.92
1143.8,54.75833333,78322,2374,43112,190.67
1342.3,74.1,86901,3240,41878,316.67
1176,86.75,39270,5895,12284,351.86
1277,83.58333333,44796,7672,12887,640.67
1203,92.16666667,42542,8618,12845,803.55
1026,67,45140,13602,13899,570.58
803,49.08333333,45594,13006,18655,497.78
1621.7,115.2083333,49817,13964,20426,358.64
934.6,64.84166667,55459,6866,22257,537.7
1289.2,84.34166667,52722,6132,15770,689.11
1421.9,103.6083333,50726,6069,16074,500.73
1274.3,85.64166667,51535,10125,14585,613.59
952.4,68.025,55769,7198,19759,664.52
1325,103.5833333,33841,5422,7709,202.41
1207,88.83333333,38657,6266,9253,325.04
1238,95.33333333,32863,6839,9137,385.24
1030,74.08333333,33562,8793,8468,328.35
873,57.58333333,39682,8584,14749,193.17
1793.8,121.6583333,36707,9240,13527,376.1
932.8,58.81666667,41239,5096,12880,303.62
1217.9,88.79166667,38177,3871,7362,312.24
1082.5,81.74166667,50264,7198,10634,330.13
1092.6,79.70833333,41756,6825,10684,343.73
1210.4,90.04166667,40870,4303,12761,416.89
1362,99.16666667,97687,26128,34130,1149.65
1208,92.33333333,88902,20817,35564,1393.55
1260,88.66666667,90381,29649,38719,1518.59
1200,82.5,100106,33167,46584,1513.26
719,45.25,89762,26813,33017,1073.1
1953.6,133.2833333,113403,29669,50030,1357.62
845,54.25,109804,24757,47576,1176.83
1445.3,99.09166667,110635,20888,42749,1101.91
1120.2,79.73333333,110539,19700,39133,1211.71
635.7,40.10833333,100291,28327,33437,1563.23
1099.1,80.04166667,100942,23328,37108,1445.57
1266,83.91666667,137614,40493,63639,1363.27
1068,81.25,128838,34002,61270,1557.11
1082,76.5,134933,50046,65309,1639.14
1264,79.83333333,151557,53038,67728,1600.38
673,44.25,137942,50834,66327,1115.06
1733.4,116.0416667,134293,53314,70224,1490.32
899.3,52.44166667,158725,45612,80602,1308.47
1611.9,109.9166667,152802,40811,68044,1289.34
1006.1,65.725,145376,44213,62569,1342.34
861.1,50.34166667,144538,47818,60581,1624.32
1053.9,77.35833333,145671,44003,74671,1558.51
1147,74.66666667,117923,40480,55996,1106.6
1185,92.08333333,104666,40393,52902,876.86
984,69.41666667,107649,32779,52029,1299.03
1289,87.16666667,118725,36801,53729,1427.3
724,53.08333333,117120,34602,59014,1209.29
1770.8,117.9833333,136922,37400,70715,1090.69
876.5,48.8,121694,19952,62897,1011.54
1509.6,103.7583333,120032,22552,58648,950.52
1317.3,89.025,163842,27146,63828,1175.52
622.9,39.96666667,128188,29497,56083,998.8
944.8,69.65,99005,20400,46609,762.64
973,63.58333333,160558,33302,80559,1227.43
797,61,165152,33400,92802,1079.02
982,68.08333333,181991,42942,92490,1272.54
988,68.91666667,191458,51027,110347,1368.83
576,45.75,199102,48519,128806,1291.65
1460.5,95.06666667,216731,48170,138441,1090.52
610.9,34.925,221213,29517,127614,1316.41
1012.7,71.08333333,173638,19068,78533,725.08
1161.5,84.19166667,218792,17642,91473,1340.84
681.4,45.90833333,209592,27373,88308,1298.65
713.5,51.66666667,170208,22549,91661,557.07
1421,113.3333333,88088,15928,42944,953.33
893.9,71.90833333,96647,15167,46031,1017.15
1277,98.83333333,95465,22320,45006,1031.46
1060,82.58333333,109573,23050,58795,1180.07
916,74.08333333,128098,29881,62958,1189.95
1397.6,107.0583333,122014,25000,67600,1202.9
1087,85.7,122392,19877,63681,1193.7
911,66.23333333,107718,14452,39579,1098.63
871.8,60.975,115042,14404,42869,1113.37
